Name,EIN,Category,Telephone,Address,City,State,Website,Facebook,Twitter,Income,Assests
10000 kids inc ,20-5071315,Youth Development,N/A, 2354 AQUA VISTA AVE  89014-3636,henderson,Nevada,http://www.10000kids.com,,,$0.00,$0.00
1000 books foundation ,46-4266146,Educational Institutions and Related Activities,N/A, 8987 W FLAMINGO RD STE 100  89147-0437,las vegas,Nevada,,,,$0.00,$0.00
100 ways ,81-2270831,Youth Development,N/A, 10115 JEFFREYS ST APT 2156  89183-7922,las vegas,Nevada,http://Www.100waysusa.org,,,$0.00,$0.00
100 black men of las vegas inc ,88-0474862,Human Services - Multipurpose and Other,N/A, PO BOX 271296  89127-1296,las vegas,Nevada,,,,"$54,506.00","$99,953.00"
100 academy foundation ,30-0659513,Educational Institutions and Related Activities,N/A, 9850 S MARYLAND PKWY A5372  89183-7146,las vegas,Nevada,,,,"$24,380.00","$17,222.00"
1-26 foundation inc ,81-1113359,"Recreation, Sports, Leisure, Athletics",N/A, 848 N RAINBOW BLVD STE 2313  89107-1103,las vegas,Nevada,,,,$0.00,$0.00
1-26 association inc ,46-5733975,"Recreation, Sports, Leisure, Athletics",N/A, 848 N RAINBOW BLVD STE 2313  89107-1103,las vegas,Nevada,,,,$0.00,$0.00
1-26 association ,33-0427401,Other sports club,N/A, 848 N RAINBOW BLVD STE 2313  89107-1103,las vegas,Nevada,http://1-26association.org,,,$0.00,$0.00
1150 foundation ,46-1547070,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 7081 MONTANA AVE  89110-5221,las vegas,Nevada,,,,$177.00,"$60,730.00"
109 comstock ladies ,47-4672913,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, PO BOX 491  89440-0491,virginia city,Nevada,,,,$0.00,$0.00
101 suns project ,82-2722371,"Arts, Culture and Humanities",N/A, 549 GRIFFITH AVE  89104-1426,las vegas,Nevada,,,,$0.00,$0.00
360 blueprint ,81-2030939,Educational Institutions and Related Activities,N/A, 2225 GREEN VISTA DR STE 306  89431-8507,sparks,Nevada,,,,$0.00,$0.00
32nd street theater company ,94-3229256,"Arts, Culture and Humanities",N/A, 3606 N RANCHO DR STE 144  89130-3196,las vegas,Nevada,http://32nd Street Theater,,,$0.00,$0.00
320 ministries international ,47-3085961,"Religion-Related, Spiritual Development",N/A, 3628 REDWOOD ST  89103-1054,las vegas,Nevada,,,,$0.00,$0.00
300 stewart avenue corporation mob museum,26-0541486,"Arts, Culture and Humanities",N/A, 300 STEWART AVE  89101-2956,las vegas,Nevada,,,,"$3,314,458.00","$43,734,538.00"
2ntense foundation ,27-3949732,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, 7947 CAMPERS VILLAGE AVE  89178-4836,las vegas,Nevada,,,,$0.00,$0.00
2nd chance balls ,81-2960400,Medical Research,N/A, 5850 STRASBOURG CT  89511-5023,reno,Nevada,,,,$0.00,$0.00
21bsre inc ,82-3185508,Educational Institutions and Related Activities,N/A, 7693 WATER VIEW WAY SUITE B  89511-2031,reno,Nevada,http://IFSEA,,,$0.00,$0.00
20 pearls foundation ,71-0999186,Educational Institutions and Related Activities,N/A, PO BOX 97854  89193-7854,las vegas,Nevada,mailto:20PearlsLV@gmail.com,,,"$85,189.00","$32,161.00"
2 act ministries ,45-2992201,"Mental Health, Crisis Intervention",N/A, 3139 E SAHARA AVE SPC 18  89104-4328,las vegas,Nevada,http://2actministries.org,,,$0.00,$0.00
1st church of god reno ,82-1229742,"Religion-Related, Spiritual Development",N/A, 1177 N DIVISION ST STE 3  89703-3832,carson city,Nevada,,,,$0.00,$0.00
15 angels ,47-2467851,Human Services - Multipurpose and Other,N/A, 1140 ALMOND TREE LN STE 305  89104-3233,las vegas,Nevada,,,,$0.00,$0.00
56 united inc ,47-2513655,"Community Improvement, Capacity Building",N/A, 3651 LINDELL RD STE D412  89103-1254,las vegas,Nevada,,,,$0.00,$0.00
5180-5190 ryla inc ,20-4541074,Youth Development,N/A, 948 INCLINE WAY  89451-9527,incline vlg,Nevada,,,,"$238,937.00","$58,703.00"
51 club a nevada non profit ,47-0912628,"Mental Health, Crisis Intervention",N/A, 46 MAGNESIUM ST  89015-7113,henderson,Nevada,,,,"$65,250.00","$25,552.00"
444 ministry inc ,81-5211109,"Religion-Related, Spiritual Development",N/A, 2251 N RAMPART BLVD 222  89128-7640,las vegas,Nevada,,,,$0.00,$0.00
4-paws rescue shelter sanctuary ,90-0489070,Animal-Related,N/A, 3240 LAKE SHORE DR  89704-9293,washoe valley,Nevada,,,,$0.00,$0.00
4 paw drive inc ,46-3571260,Animal-Related,N/A, PO BOX 158  89432-0158,sparks,Nevada,,,,$0.00,$0.00
4 corners project inc a project of shlock rock,47-4410541,"Arts, Culture and Humanities",N/A, 1755 VILLAGE CENTER CIRCLE  89134-0561,las vegas,Nevada,http://www.4cornersproject.org,,,$0.00,$0.00
3rd heaven disciples ministry inc ,46-1130850,"Religion-Related, Spiritual Development",N/A, 3415 OVERO CT  89032-2467,n las vegas,Nevada,,,,$0.00,$0.00
3rd creek foundation ,42-1729283,"Philanthropy, Voluntarism and Grantmaking Foundations",N/A, PO BOX 5406  89450-5406,incline vlg,Nevada,,,,"$166,769.00","$1,020,283.00"
39 north downtown ,47-2397251,"Community Improvement, Capacity Building",N/A, 1645 D ST  89431-4834,sparks,Nevada,,,,"$64,160.00","$49,526.00"
684 of las vegas inc ,80-0941055,"Mutual/Membership Benefit Organizations, Other",N/A, 7722 WHITESBORO CT  89139-5793,las vegas,Nevada,http://www.troop684.com,,,$0.00,$0.00
a better dai a better dai development center,46-1912094,Unknown,N/A, 3009 AUSTIN PALE AVE  89081-6406,n las vegas,Nevada,,,,$0.00,$0.00
a better choice pregnancy services dba first choice pregnancy services,16-1706155,,N/A, 860 E SAHARA AVE STE 1  89104-3032,las vegas,Nevada,,,,"$596,199.00","$651,421.00"
a agape family worship center inc ,94-3233575,"Religion-Related, Spiritual Development",N/A, 370 E WINDMILL LN  89123-1840,las vegas,Nevada,,,,$0.00,$0.00
9th island cultural club of las vegas ,47-2415375,Human Services - Multipurpose and Other,N/A, PO BOX 751644  89136-1644,las vegas,Nevada,http://9thiccoflv.org,,,$0.00,$0.00
9th bridge school inc ,46-2085403,Educational Institutions and Related Activities,N/A, 310 S 9TH ST  89101-5511,las vegas,Nevada,,,,"$899,953.00","$1,730,135.00"
926 top iii ,47-4822669,"Public, Society Benefit - Multipurpose and Other",N/A, 4325 PLATTSBURG AVE BLDG 334  89191-0000,nellis afb,Nevada,,,,$0.00,$0.00
82d airborne division association inc cal-nevada all airborne chapter,88-0295044,Other school related activities,N/A, 1455 W 4TH ST LOT 39  89503-5001,reno,Nevada,,,,$0.00,$0.00
702 volleyball ,81-2538942,"Recreation, Sports, Leisure, Athletics",N/A, PO BOX 531534  89053-1534,henderson,Nevada,http://702volleyball.com,,,$0.00,$0.00
702 animal rescue ,81-3829132,Animal-Related,N/A, 5505 BIG SKY LN  89149-6632,las vegas,Nevada,,,,$0.00,$0.00
7-eleven southern nevada franchise owner association ,88-0180471,"Community Improvement, Capacity Building",N/A, 999 E TROPICANA AVE  89119-6611,las vegas,Nevada,,,,"$187,586.00","$415,045.00"
7 degrees inc ,94-3181889,"Religion-Related, Spiritual Development",N/A, 634 RYLAND ST  89502-1640,reno,Nevada,,,,$0.00,$0.00
a i p g foundation ,74-2137240,Discussion groups forums panels lectures etc,N/A, PO BOX 1749  89505-1749,reno,Nevada,,,,"$90,712.00","$62,794.00"
a human project ,47-4575599,"Crime, Legal-Related",N/A, 9120 DOUBLE DIAMOND PKWY  89521-4842,reno,Nevada,,,,"$396,420.00","$164,887.00"
